번호,링크,영상_제목,채널명,조회수,업로드_날짜,영상_길이,소재_유형,주요_훅,감정_포인트,시의성,반복_가능
1,https://youtube.com/shorts/jVISjRRnAXI?si=mRCj59tSsnv9NI6n,큐브의 부활을 막은 사건,아이돌 연구소 (Idol Lab),약 24만 회,2023년 12월경,42초,K-pop 산업 분석,큐브 엔터테인먼트의 위기 상황 제시,"충격, 호기심",중간,높음
2,https://youtube.com/shorts/z8qOj-mwzzc?si=jhaQ6nl5QBJMd-Bu,이젠 중국 멤버들이 중국 안가는 이유,숏플리,약 67.3만 회,2023년 11월 1일,45초,K-pop 산업 분석,과거 vs 현재 비교,"놀라움, 이해",낮음,높음
3,https://youtube.com/shorts/ME2fTqwV378?si=TGtYQ7UIFl7SpEYF,아이돌이 녹음실에서 받는 특이한 요청들?,털어드림,미정보,미정보,48초,아이돌 뒷이야기,의외성 있는 질문,"호기심, 웃음",낮음,높음
4,https://youtube.com/shorts/Fy5xoSlceB0?si=ifU0oiafRJ1AFRCN,실물은 못 알아본다? 여돌 마주쳤을 때 현실 반응,아이돌 핫이슈,약 140만 회,2023년 11월 20일,40초,아이돌 일상 상황극,기대 vs 현실 갭,"공감, 웃음",낮음,높음
5,https://youtube.com/shorts/JoJm2l6XDsA?si=vB-UK09OpHy7Eel1,NG내면 큰일나는 아이돌 뮤비 아찔한 장면들,입덕할래,약 131만 회,2023년 6월 12일,43초,뮤직비디오 비하인드,위험한 촬영 장면,"긴장, 놀라움",낮음,높음
6,https://youtube.com/shorts/WveMCAYabc0?si=N3CNLPNLSYzpdtVD,아이돌이 72시간 넘게 못 자면 생기는 일,털어드림,약 120만 회,2024년 5월 23일,29초,아이돌 고충 분석,극한 상황 제시,"충격, 공감",낮음,높음
7,https://youtube.com/shorts/wbUnRHfF5tI?si=KVd-el9W-UD0pSFo,내가 바로 철벽돌 (연애 한 번도 안 해 본 철벽 중의 철벽들!),@CoffeeForYou,미정보,미정보,53초,일상 웃음 콘텐츠,자조적 유머,"공감, 웃음",낮음,높음
8,https://youtube.com/shorts/IKCCYpGvuf4?si=PQ7IoTiihzm3WXkU,장원영이 죽기 살기로 다이어트하는 진짜 이유,덕칼럼,미정보,미정보,41초,아이돌 산업 분석,카메라 렌즈 왜곡 설명,"놀라움, 이해",낮음,높음
9,https://youtube.com/shorts/FNrE0ZfgvTA?si=5oLl13SVZ915CheC,소속사가 가난한 연습생 안 뽑는 현실적인 이유,덕칼럼,약 262만 회,2024년 5월 17일,33초,K-pop 산업 분석,현실적 문제 제시,"충격, 이해",낮음,높음
10,https://youtube.com/shorts/DSUGsZ9ii-g?si=n80x-VfNz6DunEdK,카메라 감독의 엄청난 순발력,아쮸,"7,012,502회",미정보,13초,영상미 하이라이트,놀라운 장면,"놀라움, 감탄",낮음,높음
